DATE,Euro  (Jan. 1999-),US Dollars  (Jan. 1977-),UK Pounds Sterling  (Jan. 1981-),Japanese Yen  (Jan. 1981-)
2019M06D17,746.7,664.7,837.1,6.1
2019M06D18,746.7,667.5,835.2,6.2
2019M06D19,746.7,666.3,838.8,6.1
2019M06D20,746.6,660.3,837.4,6.1
2019M06D21,746.6,659.8,834.9,6.1
2019M06D24,746.6,655.3,835.5,6.1
2019M06D25,746.5,655.6,834.3,6.1
2019M06D26,746.5,657,833.1,6.1
2019M06D27,746.4,656.5,834.7,6.1
2019M06D28,746.4,655.9,832.5,6.1
2019M07D01,746.5,657.7,832,6.1
2019M07D02,746.4,660.5,834.5,6.1
2019M07D03,746.4,661,831.7,6.1
2019M07D04,746.3,661.2,831.8,6.1
2019M07D05,746.4,662.8,832,6.1
2019M07D08,746.3,665.5,832.7,6.1
2019M07D09,746.3,666.1,829.5,6.1
2019M07D10,746.4,665.2,830,6.1
2019M07D11,746.7,661.7,831.6,6.1
2019M07D12,746.7,663.6,831.7,6.1
2019M07D15,746.7,662.6,830.8,6.1
2019M07D16,746.8,665.4,827.4,6.2
2019M07D17,746.7,665.8,826.5,6.1
2019M07D18,746.7,665.8,831.1,6.2
2019M07D19,746.6,665.1,833,6.2
2019M07D22,746.6,665.7,829.9,6.2
2019M07D23,746.6,668.2,831.1,6.2
2019M07D24,746.5,670.1,837.4,6.2
2019M07D25,746.5,671.6,839.1,6.2
2019M07D26,746.6,670.3,833,6.2
2019M07D29,746.7,671.5,825.6,6.2
2019M07D30,746.7,669.4,814.7,6.2
2019M07D31,746.7,669.7,815,6.2
2019M08D01,746.6,676.5,819.1,6.2
2019M08D02,746.6,672.3,815.9,6.3
2019M08D05,746.6,667.7,812.6,6.3
2019M08D06,746.4,667.2,812.9,6.3
2019M08D07,746.3,666.2,808.1,6.3
2019M08D08,746.3,666.8,810.2,6.3
2019M08D09,746.3,666.5,804,6.3
2019M08D12,746.3,666.7,805.8,6.3
2019M08D13,746.3,665.1,804,6.3
2019M08D14,746.1,666.9,805.1,6.3
2019M08D15,745.9,669,812,6.3
2019M08D16,745.9,673.4,819.4,6.3
2019M08D19,745.8,671.7,814.4,6.3
2019M08D20,745.6,673.2,813.8,6.3
2019M08D21,745.6,671.5,814.5,6.3
2019M08D22,745.6,672.7,818,6.3
2019M08D23,745.6,673.8,824.3,6.3
2019M08D26,745.6,670.8,821.1,6.3
2019M08D27,745.8,671.6,824.7,6.4
2019M08D28,745.8,672.9,821.1,6.4
2019M08D29,745.7,673.5,823.7,6.3
2019M08D30,745.6,675.6,823.3,6.4
2019M09D02,745.6,679.8,821,6.4
2019M09D03,745.7,681.8,820.4,6.4
2019M09D04,745.8,676.9,826.4,6.4
2019M09D05,745.9,674.5,832.6,6.3
2019M09D06,746.1,676.7,832.4,6.3
2019M09D09,746,676.1,835.6,6.3
2019M09D10,746.1,675.8,835.5,6.3
2019M09D11,746.1,678.1,837,6.3
2019M09D12,746.2,680.7,839.2,6.3
2019M09D13,746.8,673,838.2,6.2
2019M09D16,746.7,676.9,843.6,6.3
2019M09D17,746.7,677.2,840.8,6.3
2019M09D18,746.7,675.6,841.7,6.2
2019M09D19,746.7,674.7,841.5,6.3
2019M09D20,746.7,677,846.3,6.3
2019M09D23,746.6,679.7,845.2,6.3
2019M09D24,746.6,678.6,847,6.3
2019M09D25,746.5,679.7,841.9,6.3
2019M09D26,746.4,682.4,843.4,6.3
2019M09D27,746.6,682.8,841,6.3
2019M09D30,746.6,685.7,842.9,6.3
2019M10D01,746.6,685,839.2,6.3
2019M10D02,746.7,683.4,839.2,6.4
2019M10D03,746.6,681.7,840.8,6.4
2019M10D04,746.7,680.1,838.5,6.4
2019M10D07,746.8,679.3,837.6,6.4
2019M10D08,746.9,679.9,831.8,6.4
2019M10D09,746.9,680.2,831.3,6.3
2019M10D10,746.8,677.1,828.4,6.3
2019M10D11,746.9,676.3,853.4,6.2
2019M10D14,746.9,677.1,848.9,6.3
2019M10D15,747,678.7,858,6.3
2019M10D16,747.1,677.7,863.1,6.2
2019M10D17,747.1,672.3,860.3,6.2
2019M10D18,747,670.3,864.3,6.2
2019M10D21,747.1,668.7,869.4,6.2
2019M10D22,747.1,671.2,868,6.2
2019M10D23,747.1,671.6,864.6,6.2
2019M10D24,747.1,671.3,865.8,6.2
2019M10D25,747,672.6,862.7,6.2
2019M10D28,747.1,673.8,865.4,6.2
2019M10D29,747.1,673.3,865.4,6.2
2019M10D30,747.1,672.7,866.7,6.2
2019M10D31,747.1,669.8,867.4,6.2
2019M11D01,747.1,670.7,868.7,6.2
2019M11D04,747.1,669.6,865.1,6.2
2019M11D05,747.1,672.5,867.6,6.2
2019M11D06,747.1,673.7,868.4,6.2
2019M11D07,747.2,674.6,864.4,6.2
2019M11D08,747.3,677.2,867.3,6.2
2019M11D11,747.2,676.8,871.5,6.2
2019M11D12,747.2,678.4,870.7,6.2
2019M11D13,747.3,679,871.3,6.2
2019M11D14,747.2,679.5,872.5,6.3
2019M11D15,747.2,677.2,872.3,6.2
2019M11D18,747.3,675.6,875.7,6.2
2019M11D19,747.2,674.6,873.2,6.2
2019M11D20,747.3,675.8,871.9,6.2
2019M11D21,747.3,673.8,873.6,6.2
2019M11D22,747.3,675.8,869.1,6.2
2019M11D25,747.2,678.7,873.7,6.2
2019M11D26,747.2,678,871.7,6.2
2019M11D27,747.1,678.6,874.3,6.2
2019M11D28,747.2,678.9,877.1,6.2
2019M11D29,747.1,680.3,876.7,6.2
2019M12D02,747.1,677.8,876.7,6.2
2019M12D03,747.2,674.9,877,6.2
2019M12D04,747.2,674.3,883.1,6.2
2019M12D05,747.2,673.5,884.5,6.2
2019M12D06,747.2,673.5,884.8,6.2
2019M12D09,747.2,674.7,887.5,6.2
2019M12D10,747.3,674.7,888.9,6.2
2019M12D11,747.3,674.7,887,6.2
2019M12D12,747.3,671,883.8,6.2
2019M12D13,747.3,668.8,894.9,6.1
2019M12D16,747.3,670.5,895.9,6.1
2019M12D17,747.3,669.5,881.8,6.1
2019M12D18,747.2,672.2,878.5,6.1
2019M12D19,747.2,672.2,878.3,6.1
2019M12D20,747.2,673.3,877.7,6.2
2019M12D23,747.2,674.7,871.8,6.2
2019M12D27,747,669.8,877.5,6.1
2019M12D30,747,667.6,876.6,6.1
2020M01D02,747.2,667.6,880.8,6.1
2020M01D03,747.3,670.4,878,6.2
2020M01D06,747.3,667.6,877,6.2
2020M01D07,747.3,668.9,877.3,6.2
2020M01D08,747.3,672.3,880.6,6.2
2020M01D09,747.3,672.7,876.3,6.1
2020M01D10,747.3,673.8,881.2,6.1
2020M01D13,747.3,671.7,871.4,6.1
2020M01D14,747.3,672.3,872.8,6.1
2020M01D15,747.3,670.7,872.1,6.1
2020M01D16,747.3,669.1,874.3,6.1
2020M01D17,747.3,672.8,878.1,6.1
2020M01D20,747.3,674.1,876.3,6.1
2020M01D21,747.3,672.3,878.8,6.1
2020M01D22,747.3,674,884.9,6.1
2020M01D23,747.3,673.8,884.4,6.2
2020M01D24,747.3,677.2,886.3,6.2
2020M01D27,747.3,677.8,885.8,6.2
2020M01D28,747.3,679,883.3,6.2
2020M01D29,747.3,679.3,883.5,6.2
2020M01D30,747.3,677.6,887.7,6.2
2020M01D31,747.3,676.2,887.8,6.2
2020M02D03,747.3,675.3,881.5,6.2
2020M02D04,747.3,676.4,880.4,6.2
2020M02D05,747.3,677.9,884.9,6.2
2020M02D06,747.3,679.1,880.8,6.2
2020M02D07,747.2,681.2,882,6.2
2020M02D10,747.2,682.4,883,6.2
2020M02D11,747.2,685.5,886.1,6.2
2020M02D12,747.2,684.6,888.9,6.2
2020M02D13,747.2,687.6,896.2,6.3
2020M02D14,747.1,689.1,897.9,6.3
2020M02D17,747,689.4,897.4,6.3
2020M02D18,747,690.7,900.2,6.3
2020M02D19,746.9,691.6,898.3,6.3
2020M02D20,746.8,692.1,890.8,6.2
2020M02D21,747,691.6,894.5,6.2
2020M02D24,747,690.5,891.1,6.2
2020M02D25,747,689.1,893.2,6.2
2020M02D26,747.1,687,887.8,6.2
2020M02D27,747.3,681.6,879.2,6.2
2020M02D28,747.2,680.7,875.9,6.3
2020M03D02,747.3,671.9,857.9,6.2
2020M03D03,747.3,672.2,858.9,6.2
2020M03D04,747.3,671.7,860.4,6.2
2020M03D05,747.1,667.9,862,6.2
2020M03D06,747,658.9,857,6.3
2020M03D09,747,652,854.8,6.4
2020M03D10,747.1,656,855,6.3
2020M03D11,747.3,659.2,852.2,6.3
2020M03D12,747.3,664.8,843.2,6.4
2020M03D13,747.3,673,839,6.3
2020M03D16,747.3,669.8,822,6.3
2020M03D17,747.3,680.5,822.8,6.4
2020M03D18,747.3,683.5,810.6,6.3
2020M03D19,747.3,691.9,803.7,6.3
2020M03D20,746.9,697.6,820.5,6.3
2020M03D23,747.1,692.8,803.6,6.3
2020M03D24,746.7,688.6,810.7,6.2
2020M03D25,746.8,689.8,816.2,6.2
2020M03D26,746.6,679.9,817.3,6.2
2020M03D27,746.1,679.7,831.3,6.3
2020M03D30,746.7,676.7,839.9,6.3
2020M03D31,746.7,681.6,842.4,6.3
2020M04D01,746.4,682.5,843.8,6.3
2020M04D02,746.6,684.6,851,6.4
2020M04D03,746.9,692.5,850.2,6.4
2020M04D06,746.6,691.9,850.3,6.4
2020M04D07,746.8,686,847.7,6.3
2020M04D08,746.4,686.6,848.7,6.3
2020M04D14,746.2,680.7,855.3,6.3
2020M04D15,746.4,684.6,854.1,6.4
2020M04D16,746.2,685.3,856.1,6.4
2020M04D17,746,687,857.7,6.4
2020M04D20,745.8,686.8,853.9,6.4
2020M04D21,745.8,688.2,846.4,6.4
2020M04D22,745.9,686.4,848.4,6.4
2020M04D23,745.8,692.3,855.2,6.4
2020M04D24,745.8,690.5,852.3,6.4
2020M04D27,745.9,687.4,854.8,6.4
2020M04D28,745.7,685.6,856.4,6.4
2020M04D29,745.7,687.8,853.4,6.5
2020M04D30,745.8,685.8,858.2,6.4
2020M05D04,746.2,682,849,6.4
2020M05D05,746.1,688.1,857,6.4
2020M05D06,746.2,690.5,855.2,6.5
2020M05D07,746.1,691.9,852.8,6.5
2020M05D11,746,689.2,848.9,6.4
2020M05D12,745.8,686.8,849.7,6.4
2020M05D13,745.6,685.6,844.9,6.4
2020M05D14,745.7,691,842.7,6.5
2020M05D15,745.8,690.7,840.4,6.5
2020M05D18,745.5,688.2,836.2,6.4
2020M05D19,745.6,680.9,832.8,6.3
2020M05D20,745.7,680.5,834.5,6.3
2020M05D25,745.7,683.5,833,6.3
2020M05D26,745.6,679.3,838.9,6.3
2020M05D27,745.8,678.6,832.5,6.3
2020M05D28,745.4,676.7,830.8,6.3
2020M05D29,745.4,669.4,827.4,6.2
2020M06D02,745.4,667.1,836.8,6.2
2020M06D03,745.5,666,837,6.1
2020M06D04,745.6,662.7,831.3,6.1
2020M06D08,745.6,660.7,836.1,6
2020M06D09,745.7,660.2,836.7,6.1
2020M06D10,745.5,655.4,838,6.1
2020M06D11,745.5,656.9,831.4,6.1
2020M06D12,745.5,659.5,831.6,6.1
2020M06D15,745.6,662.6,831.7,6.2
2020M06D16,745.6,659.4,834.3,6.1
2020M06D17,745.6,663.8,833.6,6.2
2020M06D18,745.6,664.4,828.1,6.2
2020M06D19,745.5,665.1,823.8,6.2
2020M06D22,745.4,664.8,825.3,6.2
2020M06D23,745.4,658.6,822.4,6.2
2020M06D24,745.3,660.7,825,6.2
2020M06D25,745.3,665.5,826.9,6.2
2020M06D26,745.2,664.6,822.8,6.2
2020M06D29,745.3,660.5,814.2,6.2
2020M06D30,745.3,665.5,816.8,6.2
2020M07D01,745.3,665.4,824.2,6.2
2020M07D02,745.1,660.2,825.8,6.1
2020M07D03,745.2,663.9,826.9,6.2
2020M07D06,745.2,658,823.3,6.1
2020M07D07,745.2,660.1,826.6,6.1
